2019-11-23 00:15:37.182231
 + Exec time : 25.539378881454468
 + number of files : 15
    tf            idf
Python.: 0.019355      2.014903
release,: 0.006452      2.708050
tools: 0.038710      1.098612
broad: 0.006452      2.708050
investigation: 0.006452      2.708050
training,: 0.012903      2.014903
loading,: 0.012903      2.014903
common: 0.025806      1.609438
believe: 0.012903      2.014903
like: 0.025806      1.321756
step: 0.012903      2.014903
equipping: 0.006452      2.708050
out: 0.025806      1.321756
book,: 0.012903      2.708050
solve: 0.019355      1.609438
realistic: 0.006452      2.708050
resource: 0.006452      2.708050
developers: 0.012903      2.014903
but: 0.045161      0.916291
gradients,: 0.006452      2.708050
where: 0.025806      1.321756
current: 0.012903      2.014903
systems: 0.006452      2.708050
category: 0.006452      2.708050
input: 0.012903      2.014903
resulting: 0.012903      2.014903
downstream: 0.006452      2.708050
produce: 0.012903      2.014903
data.: 0.019355      1.609438
zeros: 0.006452      2.708050
set: 0.025806      1.609438
particularly: 0.006452      2.708050
other: 0.038710      1.098612
raw: 0.006452      2.708050
task: 0.006452      2.708050
labels.: 0.006452      2.708050
led: 0.006452      2.708050
compile: 0.006452      2.708050
static: 0.032258      1.609438
graph: 0.109677      1.321756
performance: 0.025806      1.609438
immediate: 0.019355      1.609438
regarding: 0.006452      2.708050
teaching: 0.006452      2.708050
*: 0.006452      2.708050
: 0.051613      1.321756
tweak: 0.006452      2.708050
Backpropagation: 0.006452      2.708050
(among: 0.006452      2.708050
things).: 0.006452      2.708050
hand.: 0.006452      2.708050
placeholders: 0.012903      2.708050
engine: 0.006452      2.708050
notion: 0.006452      2.708050
capa-: 0.006452      2.708050
improved: 0.006452      2.708050
wrapping: 0.006452      2.708050
CNTK: 0.006452      2.708050
DL4J,: 0.006452      2.708050
development.: 0.006452      2.708050
CUDA3,: 0.006452      2.708050
peek: 0.006452      2.708050
results: 0.019355      1.609438
willing: 0.012903      2.014903
backpropagation.: 0.006452      2.708050
autograd-enabled: 0.006452      2.708050
networks,: 0.006452      2.708050
correct:: 0.006452      2.708050
here.: 0.006452      2.708050
These: 0.019355      1.609438
production: 0.012903      2.014903
work: 0.006452      2.708050
Dataset,: 0.006452      2.708050
format: 0.006452      2.708050
waiting: 0.006452      2.708050
start: 0.012903      2.014903
When: 0.012903      2.014903
starts: 0.006452      2.708050
opportunity: 0.012903      2.708050
independently: 0.012903      2.708050
(JIT): 0.006452      2.708050
book: 0.012903      2.014903
(GPU),: 0.006452      2.708050
(we: 0.006452      2.708050
(and: 0.006452      2.708050
50: 0.006452      2.708050
updates: 0.006452      2.708050
good: 0.012903      2.014903
interesting: 0.006452      2.708050
Last: 0.006452      2.708050
command: 0.006452      2.708050
installation: 0.006452      2.708050
guide: 0.006452      2.708050
compatible: 0.006452      2.708050
item: 0.006452      2.708050
Markdown-formatted: 0.006452      2.708050
GitHub.8: 0.006452      2.708050
flexibility: 0.012903      2.014903
allows: 0.019355      1.609438
early: 0.006452      2.708050
range: 0.019355      1.609438
NumPy: 0.012903      2.014903
features: 0.038710      1.321756
train: 0.032258      1.321756
efficient: 0.012903      2.014903
you: 0.135484      0.510826
learn.: 0.006452      2.708050
need: 0.058065      0.916291
experience: 0.006452      2.708050
us.: 0.006452      2.708050
space.: 0.006452      2.708050
aim: 0.006452      2.708050
hosted: 0.006452      2.708050
games,: 0.006452      2.708050
examples.: 0.006452      2.708050
trained: 0.012903      2.014903
caveats: 0.006452      2.708050
automatic: 0.019355      1.609438
which: 0.096774      0.762140
