2019-11-23 00:18:11.046056
 + Exec time : 14.251537322998047
 + number of files : 5
    tf            idf
What: 0.005051      1.609438
Python: 0.040404      0.223144
learning: 0.085859      0.223144
It: 0.010101      0.916291
of: 0.212121      0.000000
into: 0.035354      0.510826
prominent: 0.005051      1.609438
broad: 0.005051      1.609438
applications.: 0.005051      1.609438
Tensor,: 0.005051      1.609438
array: 0.005051      1.609438
arrays.: 0.005051      1.609438
make: 0.005051      1.609438
new: 0.025253      0.510826
neural: 0.015152      0.510826
architecture.: 0.005051      1.609438
accelerate: 0.005051      1.609438
operations: 0.010101      0.916291
combination: 0.005051      1.609438
loading,: 0.005051      1.609438
common: 0.005051      1.609438
both: 0.005051      1.609438
excellent: 0.005051      1.609438
introduction: 0.015152      0.510826
professional: 0.005051      1.609438
we’ll: 0.010101      0.916291
we: 0.030303      0.223144
accessible: 0.005051      1.609438
like: 0.010101      0.916291
toward: 0.005051      1.609438
knowledge: 0.010101      0.916291
backbone: 0.005051      1.609438
out: 0.010101      0.916291
two: 0.005051      1.609438
things:: 0.005051      1.609438
programming: 0.005051      1.609438
floating-point: 0.005051      1.609438
dirty—It’ll: 0.005051      1.609438
sets.: 0.005051      1.609438
allow: 0.010101      0.916291
as: 0.025253      0.223144
pop: 0.005051      1.609438
latest: 0.005051      1.609438
publications: 0.005051      1.609438
preprint: 0.005051      1.609438
machine: 0.010101      0.916291
practice,: 0.005051      1.609438
are: 0.035354      0.510826
specific: 0.005051      1.609438
efficient,: 0.005051      1.609438
large: 0.005051      1.609438
times.: 0.005051      1.609438
correctly: 0.005051      1.609438
decided: 0.005051      1.609438
use,: 0.005051      1.609438
It’s: 0.005051      1.609438
although: 0.005051      1.609438
domain): 0.005051      1.609438
feels: 0.010101      1.609438
have: 0.010101      0.916291
used: 0.010101      0.916291
arrays,: 0.005051      1.609438
acceleration: 0.005051      1.609438
starting: 0.005051      1.609438
additional: 0.005051      1.609438
unobtrusive;: 0.005051      1.609438
free: 0.005051      1.609438
landscape: 0.005051      1.609438
broader: 0.005051      1.609438
category: 0.005051      1.609438
heavily: 0.005051      1.609438
engineering.: 0.005051      1.609438
transformations: 0.005051      1.609438
resulting: 0.005051      1.609438
downstream: 0.005051      1.609438
algorithm,: 0.005051      1.609438
estimate: 0.005051      1.609438
predict: 0.005051      1.609438
distribution: 0.005051      1.609438
useful: 0.010101      1.609438
eight,: 0.005051      1.609438
particularly: 0.005051      1.609438
automatically,: 0.005051      1.609438
ones-versus-zeros: 0.005051      1.609438
looking: 0.005051      1.609438
no: 0.005051      1.609438
form: 0.010101      0.916291
entity: 0.005051      1.609438
led: 0.005051      1.609438
change: 0.005051      1.609438
b,: 0.005051      1.609438
root: 0.005051      1.609438
visibility: 0.005051      1.609438
host: 0.005051      1.609438
language: 0.005051      1.609438
case).: 0.005051      1.609438
immediate: 0.005051      1.609438
issues: 0.005051      1.609438
teaching: 0.005051      1.609438
concepts: 0.010101      1.609438
instead: 0.005051      1.609438
Understanding: 0.005051      1.609438
that: 0.121212      0.000000
building: 0.005051      1.609438
projects.: 0.010101      0.916291
emphasizes: 0.005051      1.609438
and: 0.166667      0.000000
to: 0.217172      0.000000
be: 0.065657      0.000000
has: 0.035354      0.223144
one: 0.010101      0.916291
range: 0.015152      0.510826
core: 0.005051      1.609438
data: 0.055556      0.223144
many: 0.015152      0.510826
or: 0.015152      0.510826
packages: 0.005051      1.609438
functions.: 0.005051      1.609438
As: 0.015152      0.510826
contexts: 0.005051      1.609438
We: 0.015152      0.510826
first: 0.005051      1.609438
you: 0.040404      0.223144
you.: 0.005051      1.609438
practical: 0.010101      1.609438
acquisition: 0.005051      1.609438
classes,: 0.005051      1.609438
numbers,: 0.005051      1.609438
like.: 0.005051      1.609438
your: 0.015152      0.916291
easier: 0.005051      1.609438
if: 0.005051      1.609438
us.: 0.005051      1.609438
space.: 0.005051      1.609438
Most: 0.005051      1.609438
processing: 0.005051      1.609438
2D: 0.005051      1.609438
focus: 0.010101      0.916291
PyTorch,: 0.005051      1.609438
A: 0.005051      1.609438
https://arxiv.org.1: 0.005051      1.609438
we’ve: 0.005051      1.609438
translation,: 0.005051      1.609438
playing: 0.005051      1.609438
games,: 0.005051      1.609438
so: 0.025253      0.916291
flexible: 0.005051      1.609438
can: 0.010101      0.916291
problem: 0.005051      1.609438
section,: 0.010101      0.916291
some: 0.020202      0.510826
PyTorch.: 0.005051      1.609438
because: 0.010101      0.916291
its: 0.005051      1.609438
Many: 0.005051      1.609438
learn,: 0.005051      1.609438
generally: 0.005051      1.609438
who: 0.010101      1.609438
previously.: 0.005051      1.609438
For: 0.005051      1.609438
immediately: 0.005051      1.609438
familiar.: 0.005051      1.609438
NumPy,: 0.005051      1.609438
automatic: 0.005051      1.609438
expression.: 0.005051      1.609438
exist: 0.005051      1.609438
back: 0.005051      1.609438
context: 0.005051      1.609438
historical: 0.005051      1.609438
fell: 0.005051      1.609438
Feature: 0.005051      1.609438
original: 0.005051      1.609438
problem.: 0.005051      1.609438
ones: 0.005051      1.609438
you’d: 0.005051      1.609438
number: 0.005051      1.609438
holes: 0.005051      1.609438
data,: 0.005051      1.609438
successfully.: 0.005051      1.609438
by: 0.005051      1.609438
often: 0.010101      0.916291
discovers: 0.005051      1.609438
technologies,: 0.005051      1.609438
Often: 0.005051      1.609438
